English,Vietnamese
you,bạn
i,Tôi
the,các
to,đến
a,một
it,nó
and,và
that,cái đó
of,của
is,Là
in,trong
what,gì
we,chúng tôi
me,tôi
this,điều này
he,anh ta
for,vì
my,của tôi
on,trên
have,có
your,của bạn
do,làm
was,là
no,Không
not,không phải
be,là
are,Chúng tôi
know,biết rôi
can,có thể
with,với
but,nhưng
all,tất cả
so,vì thế
just,chỉ
there,đó
here,đây
they,họ
like,giống
get,được
she,bà ấy
go,đi
if,nếu
right,đúng
out,ngoài
about,trong khoảng
up,lên
at,tại
him,anh ta
now,hiện nay
one,một
come,đến
well,tốt
her,cô ấy
how,làm sao
yeah,vâng
will,sẽ
got,có
want,muốn
think,nghĩ
as,như
see,xem
did,đã làm
good,tốt
why,tại sao
from,từ
let,để cho
his,của anh ấy
yes,Đúng
when,khi nào
going,đang đi
time,thời gian
an,một
okay,Được chứ
back,trở lại
look,nhìn
us,chúng ta
would,sẽ
them,họ
where,Ở đâu
were,là
take,lấy
then,sau đó
had,có
or,hoặc là
been,đã
our,của chúng tôi
gonna,sẽ
tell,nói
really,có thật không
man,Đàn ông
some,một số
say,Nói
hey,Chào
could,có thể
by,qua
need,nhu cầu
something,một cái gì đó
has,có
too,quá
more,hơn
way,đường
down,xuống
make,làm
very,rất
never,không bao giờ
only,chỉ có
people,Mọi người
over,kết thúc
because,bởi vì
little,ít
please,xin vui lòng
love,yêu và quý
should,Nên
mean,nghĩa là
said,nói
sorry,lấy làm tiếc
give,đưa cho
off,tắt
am,là
thank,cảm tạ
any,bất kì
two,hai
even,cũng
much,nhiều
doing,đang làm
sure,chắc chắn rồi
thing,Điều
these,những
help,Cứu giúp
first,Đầu tiên
into,trong
anything,bất cứ điều gì
still,vẫn
find,tìm thấy
life,đời sống
nothing,không có gì
sir,quý ngài
day,ngày
god,Chúa Trời
work,công việc
their,của chúng
again,lần nữa
maybe,có lẽ
must,phải
before,trước
other,khác
wait,chờ đợi
stop,dừng lại
call,gọi
after,sau
talk,nói chuyện
away,xa
than,hơn
thought,nghĩ
home,Trang Chủ
night,đêm
put,đặt
great,tuyệt quá
those,"những, cái đó"
last,Cuối cùng
better,tốt hơn
everything,mọi điều
told,kể lại
mr,Ông
new,Mới
things,nhiều thứ
always,luôn luôn
keep,giữ
long,Dài
years,năm
leave,rời khỏi
does,làm
money,tiền bạc
around,xung quanh
name,Tên
place,địa điểm
ever,không bao giờ
feel,cảm thấy
guys,chàng trai
father,bố
guy,chàng
made,thực hiện
old,cũ
which,mà
big,lớn
lot,nhiều
done,làm xong
hello,xin chào
nice,đẹp
believe,tin
girl,con gái
someone,người nào
fine,khỏe
thanks,cảm ơn
wanted,muốn
kind,Tốt bụng
coming,đến
house,nhà ở
every,mỗi
ok,đồng ý
